English word,French word,Frequency
their,leur,1935
often,souvent,121
certain,certain,167
copyright,droits d'auteur,7
should,devrait,1425
proud,fier,192
entertainment,divertissement,37
further,plus loin,184
below,au dessous de,52
would,aurait,2032
about,sur,358
month,mois,42
version,version,1
those,ceux,467
first,première,467
please,S'il vous plaît,334
least,moins,101
hours,heures,136
written,écrit,34
hundred,cent,114
which,lequel,1416
number,nombre,51
paper,papier,105
these,celles-ci,1101
other,autre,688
point,point,142
general,général,179
since,depuis,286
effect,effet,70
reputation,réputation,45
right,droite,327
subject,matière,101
small,petit,84
copies,copies,4
readable,lisible,2
although,bien que,37
plain,plaine,116
request,demande,65
cannot,ne peux pas,718
party,fête,51
receive,recevoir,78
discover,découvrir,31
within,dans,340
money,argent,177
person,la personne,147
return,revenir,175
second,seconde,100
above,au dessus,124
cause,cause,334
public,Publique,55
works,travaux,23
freely,librement,52
distributed,distribué,2
machine,machine,2
think,pense,950
desire,le désir,209
might,pourrait,450
never,jamais,905
tender,soumissionner,143
memory,Mémoire,58
bright,brillant,70
where,où,649
sweet,sucré,658
cruel,cruel,71
fresh,Frais,87
spring,printemps,57
content,contenu,141
waste,déchets,43
world,monde,628
grave,la tombe,180
shall,doit,3118
field,champ,188
worth,vaut,200
being,étant,548
beauty,beauté,196
treasure,Trésor,52
shame,la honte,292
praise,louange,177
answer,répondre,361
child,enfant,222
count,compter,43
blood,du sang,669
glass,verre,67
another,un autre,345
repair,réparation,38
mother,mère,324
whose,dont,383
lovely,charmant,53
through,par,226
golden,d'or,86
single,Célibataire,58
image,image,45
spend,dépenser,66
nothing,rien,540
abuse,abuser de,46
given,donné,182
great,génial,823
having,ayant,122
alone,seul,231
nature,la nature,303
leave,laisser,610
lives,vies,186
gentle,doux,344
frame,Cadre,45
every,chaque,456
dwell,habiter,38
summer,été,58
winter,hiver,46
there,Là,1323
quite,assez,72
walls,des murs,84
flowers,fleurs,46
though,bien que,396
substance,substance,41
still,encore,498
place,endroit,448
willing,prêt,35
breed,race,47
times,fois,208
could,pourrait,554
death,décès,817
depart,partir,61
living,vivant,120
light,lumière,260
burning,brûlant,50
under,sous,208
sight,vue,200
looks,regards,202
sacred,sacré,46
majesty,majesté,68
strong,fort,188
mortal,mortel,96
weary,se lasser,73
feeble,faible,21
going,Aller,102
unless,sauf si,64
music,la musique,159
pleasure,plaisir,178
offend,offenser,56
chide,gronder,45
parts,les pièces,107
husband,mari,282
happy,heureux,187
prove,prouver,233
widow,veuve,62
behind,derrière,114
private,privé,66
shape,forme,87
toward,vers,94
others,autres,164
chief,chef,30
change,changement,148
thought,pensée,371
presence,présence,103
wisdom,sagesse,89
folly,folie,79
cease,cesser,42
store,boutique,39
bounty,prime,40
meant,signifiait,52
tells,raconte,40
brave,courageux,146
night,nuit,800
behold,voir,115
barren,Dénudé,38
green,vert,88
beard,barbe,95
question,question,141
themselves,se,158
hence,Par conséquent,335
longer,plus long,106
yours,le tiens,248
coming,venir,145
prepare,préparer,48
again,encore,757
after,après,339
issue,problème,109
house,maison,543
eternal,éternel,37
father,père,798
stars,étoiles,68
pluck,cueillir,86
quality,qualité,56
fortune,fortune,246
brief,bref,84
thunder,tonnerre,54
heaven,paradis,545
knowledge,connaissance,76
constant,constant,48
truth,vérité,328
together,ensemble,241
thrive,prospérer,56
consider,considérer,36
thing,chose,355
little,peu,475
nought,néant,54
shows,montre,95
secret,secret,64
perceive,apercevoir,88
state,Etat,301
before,avant,626
tyrant,tyran,48
means,veux dire,261
stand,supporter,450
maiden,jeune fille,43
painted,peint,52
counterfeit,contrefaire,50
either,Soit,139
outward,vers l'extérieur,50
keeps,garde,69
drawn,tiré,84
skill,compétence,48
believe,croyez,182
knows,sait,205
write,écrire,105
faces,visages,53
tongue,langue,404
alive,vivant,86
twice,deux fois,62
shake,secouer,91
short,court,99
complexion,complexion,40
sometime,parfois,58
chance,chance,103
course,cours,157
blunt,cru,27
earth,Terre,301
teeth,les dents,55
fierce,féroce,37
sorry,Pardon,88
swift,rapide,67
forbid,interdire,70
despite,malgré,44
wrong,faux,228
young,Jeune,403
master,Maître,436
mistress,maîtresse,227
passion,la passion,104
heart,cœur,1004
acquainted,connaissance,38
false,faux,283
fashion,mode,100
object,objet,39
souls,âmes,110
woman,femme,331
wrought,forgé,42
purpose,objectif,203
truly,vraiment,124
breast,Sein,98
elder,aîné,43
therefore,par conséquent,363
nurse,infirmière,70
slain,tué,125
trust,confiance,156
forget,oublier,87
perfect,parfait,54
strength,force,117
plead,plaider,41
learn,apprendre,84
painter,peintre,9
table,table,59
wherein,où,66
hanging,pendaison,34
turns,se tourne,47
therein,la bride,47
cunning,ruse,72
grace,la grâce,273
favour,favoriser,118
triumph,triomphe,45
pride,fierté,105
buried,enterré,54
frown,froncer les sourcils,45
glory,gloire,85
fight,bats toi,270
merit,mérite,50
witness,témoin,105
naked,nu,50
apparel,vêtements,39
loving,aimant,117
respect,le respect,99
haste,hâte,156
limbs,membres,49
abide,respecter,35
darkness,obscurité,37
blind,aveugle,82
shadow,ombre,68
jewel,bijou,57
black,noir,156
quiet,silencieux,73
benefit,avantage,39
enemies,ennemis,101
reign,règne,39
consent,consentement,88
hands,mains,319
farther,plus loin,42
clouds,des nuages,57
flatter,flatter,40
disgrace,disgrâce,45
trouble,difficulté,72
curse,malédiction,98
enjoy,prendre plaisir,42
almost,presque,138
wealth,richesse,71
scorn,mépris,92
kings,rois,103
sought,recherché,34
drown,noyer,39
precious,précieux,76
grieve,pleurer,39
account,Compte,44
while,tandis que,177
friend,ami,424
appear,apparaître,114
lovers,les amoureux,46
bones,des os,76
grown,grandi,59
birth,naissance,87
brought,apporté,186
march,Mars,75
better,mieux,564
glorious,glorieux,41
morning,Matin,123
sovereign,souverain,139
early,de bonne heure,49
shine,éclat,43
stain,tache,36
didst,didst,145
promise,promettre,105
forth,en avant,368
without,sans pour autant,287
rotten,pourri,36
enough,assez,291
storm,orage,52
beaten,battu,48
speak,parler,969
wound,blessure,70
grief,douleur,210
repent,se repentir,52
sorrow,chagrin,174
bears,ours,102
cross,traverser,73
tears,larmes,273
ransom,une rançon,54
deeds,actes,118
silver,argent,61
fault,faute,165
bring,apporter,371
sense,sens,124
lawful,légitime,60
civil,civil,49
needs,Besoins,142
thief,voleur,67
confess,avouer,115
loves,aime,195
remain,rester,57
borne,supporté,80
spite,dépit,59
steal,voler,77
delight,délice,55
kindness,la gentillesse,50
report,rapport,140
dearest,très cher,56
comfort,confort,174
whether,qu'il s'agisse,56
argument,argument,67
excellent,excellent,100
absence,absence,55
leisure,loisir,63
entertain,divertir,39
blame,faire des reproches,82
taste,goût,75
known,connu,185
pretty,jolie,109
liberty,liberté,71
forbear,ancêtre,43
dearly,chèrement,41
excuse,excuse,71
because,car,81
found,a trouvé,217
sleep,sommeil,238
dreams,rêves,45
clear,clair,58
heavy,lourd,167
flesh,la chair,131
matter,matière,354
large,grand,69
water,eau,148
attend,assister,100
present,présent,238
motion,mouvement,79
health,santé,91
straight,tout droit,145
title,Titre,88
picture,image,42
feast,le banquet,97
thrust,poussée,47
whence,d'où,58
prize,prix,47
greet,saluer,41
desert,désert,44
guard,garde,105
teach,enseigner,91
beast,la bête,71
weight,poids,44
wretch,misérable,57
speed,la vitesse,112
anger,colère,55
sharp,tranchant,65
offence,infraction,93
